"","region","MonthDate","counts"
"1","abilene","2013-08-01 00:00:00",5
"2","abilene","2013-09-01 00:00:00",32
"3","abilene","2013-10-01 00:00:00",105
"4","abilene","2013-11-01 00:00:00",54
"5","abilene","2013-12-01 00:00:00",38
"6","abilene","2014-01-01 00:00:00",66
"7","abilene","2014-02-01 00:00:00",75
"8","abilene","2014-03-01 00:00:00",80
"9","abilene","2014-04-01 00:00:00",158
"10","abilene","2014-05-01 00:00:00",124
"11","abilene","2014-06-01 00:00:00",3
"12","akroncanton","2013-09-01 00:00:00",72
"13","akroncanton","2013-10-01 00:00:00",296
"14","akroncanton","2013-11-01 00:00:00",181
"15","akroncanton","2013-12-01 00:00:00",141
"16","akroncanton","2014-01-01 00:00:00",154
"17","akroncanton","2014-02-01 00:00:00",136
"18","akroncanton","2014-03-01 00:00:00",131
"19","akroncanton","2014-04-01 00:00:00",286
"20","akroncanton","2014-05-01 00:00:00",250
"21","akroncanton","2014-06-01 00:00:00",2
"22","albany","2013-08-01 00:00:00",3
"23","albany","2013-09-01 00:00:00",140
"24","albany","2013-10-01 00:00:00",309
"25","albany","2013-11-01 00:00:00",168
"26","albany","2013-12-01 00:00:00",160
"27","albany","2014-01-01 00:00:00",146
"28","albany","2014-02-01 00:00:00",148
"29","albany","2014-03-01 00:00:00",153
"30","albany","2014-04-01 00:00:00",242
"31","albany","2014-05-01 00:00:00",261
"32","albany","2014-06-01 00:00:00",6
"33","albanyga","2013-08-01 00:00:00",4
"34","albanyga","2013-09-01 00:00:00",18
"35","albanyga","2013-10-01 00:00:00",74
"36","albanyga","2013-11-01 00:00:00",32
"37","albanyga","2013-12-01 00:00:00",32
"38","albanyga","2014-01-01 00:00:00",36
"39","albanyga","2014-02-01 00:00:00",54
"40","albanyga","2014-03-01 00:00:00",31
"41","albanyga","2014-04-01 00:00:00",52
"42","albanyga","2014-05-01 00:00:00",94
"43","albanyga","2014-06-01 00:00:00",4
"44","albuquerque","2013-08-01 00:00:00",23
"45","albuquerque","2013-09-01 00:00:00",97
"46","albuquerque","2013-10-01 00:00:00",200
"47","albuquerque","2013-11-01 00:00:00",101
"48","albuquerque","2013-12-01 00:00:00",146
"49","albuquerque","2014-01-01 00:00:00",83
"50","albuquerque","2014-02-01 00:00:00",158
"51","albuquerque","2014-03-01 00:00:00",179
"52","albuquerque","2014-04-01 00:00:00",242
"53","albuquerque","2014-05-01 00:00:00",186
"54","albuquerque","2014-06-01 00:00:00",5
"55","alexandria","2013-08-01 00:00:00",9
"56","alexandria","2013-09-01 00:00:00",34
"57","alexandria","2013-10-01 00:00:00",68
"58","alexandria","2013-11-01 00:00:00",19
"59","alexandria","2013-12-01 00:00:00",22
"60","alexandria","2014-01-01 00:00:00",29
"61","alexandria","2014-02-01 00:00:00",60
"62","alexandria","2014-03-01 00:00:00",13
"63","alexandria","2014-04-01 00:00:00",46
"64","alexandria","2014-05-01 00:00:00",66
"65","alexandria","2014-06-01 00:00:00",1
"66","allentown","2013-08-01 00:00:00",19
"67","allentown","2013-09-01 00:00:00",111
"68","allentown","2013-10-01 00:00:00",203
"69","allentown","2013-11-01 00:00:00",110
"70","allentown","2013-12-01 00:00:00",99
"71","allentown","2014-01-01 00:00:00",90
"72","allentown","2014-02-01 00:00:00",107
"73","allentown","2014-03-01 00:00:00",112
"74","allentown","2014-04-01 00:00:00",252
"75","allentown","2014-05-01 00:00:00",238
"76","altoona","2013-08-01 00:00:00",1
"77","altoona","2013-09-01 00:00:00",19
"78","altoona","2013-10-01 00:00:00",58
"79","altoona","2013-11-01 00:00:00",12
"80","altoona","2013-12-01 00:00:00",7
"81","altoona","2014-01-01 00:00:00",31
"82","altoona","2014-02-01 00:00:00",44
"83","altoona","2014-03-01 00:00:00",13
"84","altoona","2014-04-01 00:00:00",24
"85","altoona","2014-05-01 00:00:00",65
"86","altoona","2014-06-01 00:00:00",2
"87","amarillo","2013-08-01 00:00:00",17
"88","amarillo","2013-09-01 00:00:00",62
"89","amarillo","2013-10-01 00:00:00",202
"90","amarillo","2013-11-01 00:00:00",105
